,aircraft.damage,make,model,number.of.engines,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,accidents,total.passengers
0,Destroyed,cessna,C172,1,3,0,0,1,Accident,4
1,Destroyed,cessna,C180,1,4,0,0,0,Accident,4
2,Destroyed,cessna,C172,1,1,0,0,0,Accident,1
3,Destroyed,cessna,C180,1,3,0,0,0,Accident,3
4,Substantial,cessna,C172,1,0,0,0,1,Accident,1
5,Substantial,cessna,C152,1,0,0,0,1,Accident,1
6,Substantial,cessna,C150,1,0,0,0,2,Accident,2
7,Substantial,cessna,C210,1,0,0,1,1,Accident,2
8,Substantial,cessna,C182,1,0,0,2,0,Accident,2
9,Substantial,cessna,C182,1,0,0,0,1,Accident,1
10,Substantial,cessna,C152,1,0,0,0,2,Accident,2
11,Destroyed,cessna,C210,1,2,0,0,0,Accident,2
12,Destroyed,cessna,C172,1,1,0,0,0,Accident,1
13,Substantial,cessna,C152,1,0,0,0,1,Accident,1
14,Substantial,cessna,C152,1,0,0,0,1,Accident,1
15,Substantial,cessna,C172,1,0,0,0,2,Accident,2
16,Substantial,cessna,C152,1,0,0,0,1,Accident,1
17,Substantial,cessna,C210,1,0,1,0,3,Accident,4
18,Substantial,cessna,C172,1,0,0,0,2,Accident,2
19,Substantial,cessna,C182,1,0,0,0,1,Accident,1
20,Destroyed,cessna,C172,1,0,0,0,4,Accident,4
21,Substantial,cessna,C180,1,0,0,0,1,Accident,1
22,Destroyed,cessna,C210,1,3,0,0,0,Accident,3
23,Substantial,cessna,C172,1,0,0,0,2,Accident,2
24,Substantial,cessna,C150,1,0,0,0,1,Accident,1
25,Destroyed,cessna,C150,1,1,0,0,0,Accident,1
26,Destroyed,cessna,C182,1,0,0,1,0,Accident,1
27,Destroyed,cessna,C150,1,0,0,1,1,Accident,2
28,Destroyed,cessna,C172,1,1,0,0,0,Accident,1
29,Substantial,cessna,C180,1,0,0,0,1,Accident,1
30,Substantial,cessna,C210,1,4,0,0,0,Accident,4
31,Substantial,cessna,C152,1,0,0,0,1,Accident,1
32,Substantial,cessna,C182,1,0,0,1,1,Accident,2
33,Substantial,cessna,C182,1,0,0,0,1,Accident,1
34,Substantial,cessna,C150,1,0,0,0,1,Accident,1
35,Destroyed,cessna,C182,1,3,0,0,0,Accident,3
36,Substantial,cessna,C210,1,1,0,0,1,Accident,2
